objectid,filename,title,format,description,creator,date,date-is-approximate?,subject,location,latitude,longitude,source,rights,type,language
cwm001,cover01.jpg,The Gaze,image/jpeg,,LeaWoo,2019,yes,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
nzsj001,nzsj_vol001_cover.jpg,Nüzi Shijie (Women's World)  Issues #012 Cover,image/jpeg,"It is an image of a woman holding a flag, fighting for freedom.",Hu Di,1904,no,Nüzi Shijie (Women's World) ,"Beijing,CN",39.9042,116.4074,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
nzsj002,nzsj_vol001_issue01.jpg,Discussing Freedom in Marriage,image/jpeg,"content: Free marriage is not something that can be easily achieved. Women in Chinese society have long been restricted by outdated customs, viewed as ""things"", which is truly regrettable. Free marriage requires individuals to be self-disciplined and economically independent. Those who cannot support themselves are neither able to enjoy the freedom of marriage nor should they seek it. If a marriage is not built on true love between both parties, it will not only harm their feelings but also bring negative effects to their family, nation, ethnicity, and society. Therefore, the issue of free marriage deserves in-depth study.",Zhuang Gong,1904,no,Nüzi Shijie (Women's World) ,"Beijing,CN",39.9042,116.4074,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
nzsj003,nzsj_vol001_issue02.jpg,Prohibition of Women from Foot Binding,image/jpeg,"content: When Governor Zhou served as the provincial governor of Dong Province, he issued strict orders prohibiting women from foot binding. In Dong Province, this ban had already been enforced. However, in the Jiangnan region, from Governor Wei to Governor Duan, these officials had all issued proclamations urging people to stop foot binding, yet this outdated and deeply rooted practice has not been completely eradicated. Recently, Governor Zhou reiterated the ban, explicitly forbidding foot binding. However, without local gentry and women from officials' families taking the lead in advocating against it, relying solely on official proclamations will likely be ineffective.",Pan Huayu,1904,no,Nüzi Shijie (Women's World) ,"Beijing,CN",39.9042,116.4074,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
fnsb001,fnsb_vol001_cover.jpg,Funü Shibao (Women's Eastern Times) Issue #12 Cover,image/jpeg,Urban scene with a female figure,Xu Yongqing,1914,no,Funü Shibao (Women's Eastern Times),"Shanghai,CN",31.2350,121.4578,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
fnsb002,fnsb_vol001_issue01.jpg,,,,,,,,,,,,,,
fnsb003,fnsb_vol001_issue02.jpg,What I Expect of Women in Their Time of Study,image/jpeg,"content: Women should develop independence and self-discipline, particularly in managing their own thoughts and lives, without relying on others. Virtue and character are invaluable treasures that cannot be measured by money, and they must be achieved through practical actions and self-restraint. Women should strive for independence, self-discipline, and strong character, so they are no longer seen as mere accessories or playthings in society.",Zhang Wanying,1914,no,Funü Shibao (Women's Eastern Times),"Shanghai,CN",31.2350,121.4578,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
fnzz001,fnzz_vol001_issue001_cover.jpg,"Label of a photograph mailed from Frank B. Robinson to his son, Albert B. Robinson",image/jpeg,"Photograph of a brown paper label torn from a package used to mail a photograph from Frank B. Robinson to Alfred B. Robinson, including addresses and postage.",,1948-01-20,no,Mailings; Alfred B. Robinson,,,,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
fnzz002,fnzz_vol007_issue01.jpg,The Light Within,image/jpeg,A flyer featuring an illustration of a lighthouse on the coast representing the light of God within the viewer.,,1942,no,"Spirit of God, God-Power; Truth; Illustrations",,,,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
fnzz003,fnzz_vol007_issue02.jpg,For Rent - A Cross,image/jpeg,A flyer to all Americans advertizing Frank B. Robinson's newest book.,,1942,no,"Robinson's Books; Moscow, Idaho",,,,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
ll001,ll_vol001_cover.jpg,Negative photograph of a Psychiana pin,image/jpeg,Negative photograph of a pin worn by members of Psychiana. Pin includes a small hand holding a lit torch with the capital letter 'P' prominently in front.,"Robinson, Frank B.",1936,no,Psychiana Pin,,,,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
ll002,linglong_vol001_issue01.jpg,Negative photograph of the development site of Robinson lake,image/jpeg,Negative photograph from overhead view of a lake either after or during its development. Photograph includes a storage structure and several dirt roads running around and into the lake.,"Robinson, Frank B.",1935,no,Recreation; Latah County,"Robinson Lake, Moscow, ID",46.755184,-116.909892,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
ll003,linglong_vol001_issue02.jpg,Negative photograph of several copies of the June 1948 edition of the 'The Way: A Quarterly Publication of the Psychiana Religion.',image/jpeg,"Negative photograph of the covers of The Way that include rays of light moving to a point behind a picture of mountains, a mountain lake, and clouds.","Robinson, Frank B.",1948,no,Robinson's Writings; Psychiana Journal,,,,University of Heidelberg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Image;StillImage,eng
